"spell immunity"
"martial advantage"
"arcane advantage"
"army arcana"
"telepathic bond"
"guiding wind"
"shell camouflage"
"multiple heads"
"reactive heads"
"detect sentience"
"invisibility"
"faultless tracker"
"camouflage"
"shell"
"seaweed shape"
"dragon's resistance"
"heart of the dragon"
"sorcery points"
"command hair"
"stone's strength"
"freedom of movement"
"tunneler"
"otherworldly perception"
"slippery"
"kicking retreat"
"skewer"
"relentless"
"ignited illumination"
"tail spike regrowth"
"attractive pollen"
"petrifying gaze"
"shadow teleport"
"adhesive"
"grappler"
"creature sense"
"telepathic hub"
"psionic hub"
"two-headed"
"underwater camouflage"
"blood frenzy"
"beast of burden"
"ethereal jaunt"
"keen hearing swarm"
"snow camouflage"
"axiomatic mind"
"disintegration"
"distress spores"
"sun sickness"
"corruption"
"paralysis"
"mental fortitude"
"aquatic invisibility"
"mantle dependent"
"shape water"
"speak with animals"
"confer fire resistance"
"annihilating aura"
"life eater"
"nilbogism"
"arcane ward"
"archer's eye"
"assassinate"
"song of rest"
"taunt"
"indomitable"
"second wind"
"benign transportation"
"dark devotion"
"portent"
"sculpt spells"
"brave"
"grim harvest"
"divine eminence"
"lightfooted"
"suave defense"
"transmuter's stone"
"dark one's own luck"
"whispering aura"
"survivor"
"aversion to fire"
"sulfurous impersonation"
"howdah"
"corrosive form"
"instinctive attack"
"ooze cube"
"transparent"
"corrode metal"
"foe smiter of ilneval"
"gruumsh's fury"
"corrupted carrier"
"nurtured one of yurtrus"
"hand of shargaas"
"shargaas' sight"
"slayer"
"spectral armor and shield"
"empowered attacks"
"keen senses"
"terror dive"
"wounded fury"
"blurred movement"
"limited magic immunity"
"iron boots"
"outsize strength"
"vengeful tracker"
"grasping tendrils"
"iron scent"
"rust metal"
"limited amphibious"
"shark telepathy"
"burning fury"
"swimming leap"
"limited amphibiousness"
"burden of time"
"shadow jump"
"soul thirst"
"weight of ages"
"sunlight weakness"
"ethereal awareness"
"shadow blend"
"bound"
"spell storing"
"fallible invisibility"
"trackless"
"master of the grave"
"keen tracker"
"liquid form"
"watery stealth"
"rising anger"
"life hunger"
"psychic leech"
"thrives on company"
"wretched pack tactics"
"worms"
"inscrutable"
"aura of madness"
"psychic mirror"
"return to worms"
"out-of-phase movement"
"extraordinary leap"
"cunning opportunist"
"devastating roll"
"martial fury"
"feline agility"
"inspire"
"reflective carapace"
"glowing"
"flexible"
"doomvault devotion"
"adhesive blossoms"
"plant camouflage"
"chameleon carapace"
"discorporation"
"detect invisibility"
"poison sense"
"chameleon skin"
"rancid degeneration"
"poison splash"
"confusing gaze"
"misty escape"
"vampire weaknesses"
"forbiddance"
"harmed by running water"
"stake to the heart"
"life sense"
"misty form"
"invisible in water"
"water bound"
"amorphous form"
"killer response"
"consume life"
"ephemeral"
"variable illumination"
"magic club"
"treasure sense"
"low cunning"
"overbearing pack"
"raxivort's tongue"
"raxivort's blessing"
"possession"
"sunlight banishment"
"fear of fire"
"ophidiophobia aura"
"six heads"
"mental resistance"
"malison type"
"mind fangs"
"sseth's blessing"
"death fangs"
"poison's disciple"
"dimensional lock"
"uncanny senses"
"secure memory"
"watery advantage"
"teleport"
"bringer of plagues"
"loathsome limbs"
"disgorge zombie"
"natural armor"
"fungus stride"
"mushroom portal"
"poison spores"
